body,topic,trend
A MASSIVE thank you to everyone who sponsored the #BristolShirtSwap for #FootballShirtFriday - we didn’t expect to… https://t.co/G56ozI2unf,4,#FootballShirtFriday
Great day at Swindon Futsal Arena with my @Bridgwater_Coll Level 3 Football Coaching students. Thanks to @TSage593… https://t.co/Xw336NShGY,4,#FootballShirtFriday
"Great job guys and thank you to @julie_wisden for organising. Money starting to come through now, not too late to d… https://t.co/elschDUFWh",4,#FootballShirtFriday
#FootballShirtFriday 20% of all shirts couldn’t say no to this classic @classicshirts https://t.co/b9yZOhxUos,4,#FootballShirtFriday
"A little #FootballShirtFriday #FridayFeeling Teaser. 3 kits, all the same club, name that club. #subbuteo… https://t.co/QQSfnNEteO",4,#FootballShirtFriday
We did it!! Very proud of my work colleagues today who made effort and raised over our £200 target for… https://t.co/LRk6CT7RxO,4,#FootballShirtFriday
"Great first day of sales of our new away kit, very apt on #FootballShirtFriday. You can read about our new kit and… https://t.co/r4jzIYCkf6",4,#FootballShirtFriday
#FootballShirtFriday wore my red England shirt to work today. Donated a fiver. 93 yr old Dad rings me this evening… https://t.co/G5gCOrqtyw,4,#FootballShirtFriday
Work colleagues were treated to this beauty for #FootballShirtFriday #WycombeWanderers #Chairboys https://t.co/fm2yIS3Q6h,4,#FootballShirtFriday
"#FootballShirtFriday Well done Sam for selling £18 worth of #SpotTheBall  Still some squares to fill, pop in to ent… https://t.co/fGKpKYb9Zr",4,#FootballShirtFriday
Gotta love my #accountants @AshdownHurrey on #FootballShirtFriday - despite the proliferation of #Brighton shirts..… https://t.co/r2ORn4cF7R,4,#FootballShirtFriday
RT https://t.co/BE0sDjthE5 Wearing my #FootballShirtFriday text BOBBY to 70200 to donate £5. take down bowel cancer… https://t.co/ZJ6En0hcKC,4,#FootballShirtFriday
#FootballShirtFriday A strong Vale vs Stoke turn out today! https://t.co/1VcBmeleLw,4,#FootballShirtFriday
ENGLAND NEWS: RT BobbyMooreFund: #FootballShirtFriday isn’t over yet! Keep those pic coming and don’t forget to mak… https://t.co/Of9YBao7BQ,4,#FootballShirtFriday
Here we are supporting #FootballShirtFriday at training and raising money for the @BobbyMooreFund ⚽️🦌 https://t.co/23x1zJs5Yu,4,#FootballShirtFriday
"Celebrate the good news stories in football this week, with everything from #FootballShirtFriday to @CheapPanini an… https://t.co/ZNHKatNQcf",4,#FootballShirtFriday
Wearing my #FootballShirtFriday text BOBBY to 70200 to donate £5. take down bowel cancer 💪🏼 💪🏼⚫️⚪️⚽️#footballfamily… https://t.co/j2CPHVNqXF,4,#FootballShirtFriday
Just dig out this classic for  #FootballShirtFriday Corinthians Paulista from way back in the 80's. Modelled by my… https://t.co/yzjRz2oBFm,4,#FootballShirtFriday
"Donating money and wearing the hoops for #FootballShirtFriday

To donate £5 to the Bobby Moore Fund in association… https://t.co/EmvbJ7SqZk",4,#FootballShirtFriday
@LancashireCare #finance raising money 💷 for #charity #footballshirtfriday⚽️ #bobbymoorefund https://t.co/Gxku9vSb2S,4,#FootballShirtFriday
@InMobi London did their bit today. For #FootballShirtFriday it’s a good job I brought spare @Boro and @England shi… https://t.co/2EWXX1GdKJ,4,#FootballShirtFriday
Our team at the Consumer Services Office supporting #FootballShirtFriday! A worthy cause to raise funds and awarene… https://t.co/t0Fdj1X8uR,4,#FootballShirtFriday
The guys at @ReThinkRec raising some cash for #FootballShirtFriday https://t.co/XVRK1AwvNl,4,#FootballShirtFriday
"Cancer Research UK​ FOOTBALL SHIRT FRIDAY ⚽️

Text ‘SHIRT’ to 70200 to donate £5 to help beat bowel cancer 📱… https://t.co/MUoHPufu7U",4,#FootballShirtFriday
Have you been wearing your football shirt for #FootballShirtFriday today? Don’t forget to donate £5 and help beat b… https://t.co/KePFNYonzG,4,#FootballShirtFriday
A very busy club night tonight on #footballshirtfriday! Bring on the chippy tea....,4,#FootballShirtFriday
"@havetrestaurant big respect to #tonbridgehavet for supporting #FootballShirtFriday
Fantastic cause. Loving your work (and your food❤️)",4,#FootballShirtFriday
#FootballShirtFriday. Great excuse to wear my @ScottishFA shirt to work. A fantastic cause that’s close to my heart… https://t.co/CKNC9il079,4,#FootballShirtFriday
Time to bring out the @telfordutd-kit for #FootballShirtFriday. Had to get one after 15 emotional seasons on #FM16… https://t.co/MKPgRXZqyP,4,#FootballShirtFriday
